word,ipa
abuser,əbjuzɝ
adamik,ədɑmɪk
advise,ædvaɪz
aikins,aɪkɪnz
aitken,aɪtkən
artale,ɑɹtɑɫi
baiuls,baɪuɫz
barons,bɛɹənz
baucum,boʊkəm
bekins,bikɪnz
bemuse,bɪmjuz
biddix,bɪdɪks
bilbao,bɪɫbaʊ
bluest,bɫuəst
brasil,bɹæsəɫ
cantel,kæntɛɫ
capris,kæpɹiz
caston,kæstən
cavort,kəvɔɹt
champs,tʃæmps
chiles,tʃaɪɫz
classs,kɫæsɪz
condon,kɑndən
cordis,kɔɹdɪs
cosbys,kɔzbiz
credit,kɹɛdɪt
crunch,kɹəntʃ
dagata,dɑɡɑtə
daiwas,deɪwəz
darken,dɑɹkən
davlin,dævɫɪn
delwyn,dɛɫwɪn
dosing,doʊsɪŋ
dupras,dəpɹɑz
eiichi,eɪitʃi
evades,iveɪdz
fanguy,fəŋɡwi
femina,fɛmɪnə
fesler,fɛsəɫɝ
garros,ɡɛɹoʊs
geibel,ɡaɪbəɫ
gentle,dʒɛnəɫ
giampa,dʒɑmpə
gideon,ɡɪdiən
glasss,ɡɫæsɪz
gobain,ɡoʊbɪn
gomery,ɡoʊmɝi
hasman,hæsmən
hatler,heɪtɫɝ
henrys,hɛnɹiz
hohman,hoʊmən
incata,ɪŋkɑtə
italys,ɪtəɫiz
jennys,dʒɛniz
jiangs,dʒiɑŋz
jurgen,dʒɝɡən
kampen,kæmpən
kofron,kɑfɹən
kryger,kɹaɪɡɝ
larded,ɫɑɹdɪd
leachs,ɫitʃɪz
leyden,ɫaɪdən
lipkin,ɫɪpkɪn
lodges,ɫɑdʒəz
mancil,mænsɪɫ
maxell,mæksɛɫ
mccord,məkɔɹd
minted,mɪntɪd
ophuls,oʊfəɫz
ostrow,ɑstɹoʊ
pantle,pæntəɫ
parsky,pɑɹski
pecans,pikɑnz
pratap,pɹɑtəp
rastus,ɹæstəs
redmon,ɹɛdmən
ringle,ɹɪŋɡəɫ
ritson,ɹɪtsən
ruland,ɹuɫənd
safety,seɪfti
santon,sæntən
scones,skoʊnz
sowden,soʊdən
splain,spɫeɪn
squads,skwɑdz
stinel,stɪnɛɫ
stoked,stoʊkt
strait,stɹeɪt
styled,staɪɫd
sundae,səndeɪ
surges,sɝdʒəz
talsma,tɑɫsmə
tulane,tuɫeɪn
unroll,ənɹoʊɫ
uplink,əpɫɪŋk
vitali,vitɑɫi
waving,weɪvɪŋ
wiggly,wɪɡəɫi
winkle,wɪŋkəɫ
woeful,woʊfəɫ
